Alex's laptop&nbsp;192.169.177.20
Ren's lap&nbsp;199.200.0.89
Erick's notebook&nbsp;34.88.254.100
Lisa's PC&nbsp;68.1.0.232
Tony's PC&nbsp;200.0.23.29
Alexis' notebook&nbsp;45.45.0.1
Ellie's lap&nbsp;200.0.203.165
Sammy's PC&nbsp;4.77.43.34
Fer's laptop&nbsp;29.10.0.1
Daniel's PC&nbsp;255.2.0.0
Chris' PC&nbsp;100.1.67.3
Willy's notebook&nbsp;100.89.88.255
Angel's PC&nbsp;1.0.67.67
Henry's lap&nbsp;101.102.104.109
Harry's PC&nbsp;1.9.8.7
Gilbert's laptop&nbsp;69.68.0.55
Vanessa's notebook&nbsp;205.209.3.100
masyulap&nbsp;192.168.0.183
